,Test File ID,Top K with encryption,Top K without encryption,Disease name,Rank with encryption,NDCG with encryption,Rank without encryption,NDCG without encryption
0,ALS_26515621_1_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                    Distal myopathy with posterior leg and anterior hand involvement   0.57
                                        Postsynaptic congenital myasthenic syndromes   0.56
                                                         Pure mitochondrial myopathy   0.55
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.55
                                Moderate multiminicore disease with hand involvement   0.54
                                                          O'Sullivan-McLeod syndrome   0.54
                                                             Distal nebulin myopathy   0.54
                                                                Rigid spine syndrome   0.53
                                                                    Miyoshi myopathy   0.53
                                  Late-onset distal myopathy, Markesbery-Griggs type   0.53
                                                                        GNE myopathy   0.53
                                            Finnish upper limb-onset distal myopathy   0.53
                                                      Distal myopathy, Tateyama type   0.52
                                                          Bethlem muscular dystrophy   0.52
                                                              Distal anoctaminopathy   0.52
                                   Lower motor neuron syndrome with late-adult onset   0.51
                           Autosomal dominant limb-girdle muscular dystrophy type 1A   0.51
                             Autosomal dominant progressive external ophthalmoplegia   0.51
                                                                      Wilson disease   0.51
                                          Distal myopathy with anterior tibial onset   0.51","                                                                             Disease  Score
                    Distal myopathy with posterior leg and anterior hand involvement   0.57
                                        Postsynaptic congenital myasthenic syndromes   0.56
                                                         Pure mitochondrial myopathy   0.55
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.55
                                Moderate multiminicore disease with hand involvement   0.54
                                                          O'Sullivan-McLeod syndrome   0.54
                                                             Distal nebulin myopathy   0.54
                                                                Rigid spine syndrome   0.53
                                                                    Miyoshi myopathy   0.53
                                  Late-onset distal myopathy, Markesbery-Griggs type   0.53
                                                                        GNE myopathy   0.53
                                            Finnish upper limb-onset distal myopathy   0.53
                                                      Distal myopathy, Tateyama type   0.52
                                                          Bethlem muscular dystrophy   0.52
                                                              Distal anoctaminopathy   0.52
                                   Lower motor neuron syndrome with late-adult onset   0.51
                           Autosomal dominant limb-girdle muscular dystrophy type 1A   0.51
                             Autosomal dominant progressive external ophthalmoplegia   0.51
                                                                      Wilson disease   0.51
                                          Distal myopathy with anterior tibial onset   0.51",ALS,21,0,21,0
1,ALS_26515621_2_gemini2p5flash_SO.txt,"                                                              Disease  Score
     Distal myopathy with posterior leg and anterior hand involvement   0.58
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.56
               Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.55
                   Late-onset distal myopathy, Markesbery-Griggs type   0.55
             Autosomal recessive axonal neuropathy with neuromyotonia   0.54
                                                     Miyoshi myopathy   0.52
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.52
                                 Autosomal spastic paraplegia type 18   0.52
                                                         GNE myopathy   0.52
                        Autosomal dominant spastic paraplegia type 17   0.51
                  Dysferlin-related limb-girdle muscular dystrophy R2   0.51
                   Subacute inflammatory demyelinating polyneuropathy   0.51
                                           Bethlem muscular dystrophy   0.51
                             Finnish upper limb-onset distal myopathy   0.51
                       Autosomal recessive spastic paraplegia type 43   0.50
                                           Isolated fibular hemimelia   0.50
                            KLHL9-related early-onset distal myopathy   0.50
                        Autosomal dominant spastic paraplegia type 10   0.50
                                            Focal stiff limb syndrome   0.50
                   Plectin-related limb-girdle muscular dystrophy R17   0.49","                                                              Disease  Score
     Distal myopathy with posterior leg and anterior hand involvement   0.58
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.56
               Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.55
                   Late-onset distal myopathy, Markesbery-Griggs type   0.55
             Autosomal recessive axonal neuropathy with neuromyotonia   0.54
                                                     Miyoshi myopathy   0.52
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.52
                                 Autosomal spastic paraplegia type 18   0.52
                                                         GNE myopathy   0.52
                        Autosomal dominant spastic paraplegia type 17   0.51
                  Dysferlin-related limb-girdle muscular dystrophy R2   0.51
                   Subacute inflammatory demyelinating polyneuropathy   0.51
                                           Bethlem muscular dystrophy   0.51
                             Finnish upper limb-onset distal myopathy   0.51
                       Autosomal recessive spastic paraplegia type 43   0.50
                                           Isolated fibular hemimelia   0.50
                            KLHL9-related early-onset distal myopathy   0.50
                        Autosomal dominant spastic paraplegia type 10   0.50
                                            Focal stiff limb syndrome   0.50
                   Plectin-related limb-girdle muscular dystrophy R17   0.49",ALS,108,0,108,0
2,ALS_26515621_3_gemini2p5flash_SO.txt,"                                                                                           Disease  Score
                                                                      Oculopharyngodistal myopathy   0.63
                                                                Oculopharyngeal muscular dystrophy   0.60
                                                              Autosomal spastic paraplegia type 18   0.58
                                                       Facial onset sensory and motor neuronopathy   0.58
                                                                            1p36 deletion syndrome   0.57
                 Intellectual disability-muscle weakness-short stature-facial dysmorphism syndrome   0.57
                                              Macrocephaly-spastic paraplegia-dysmorphism syndrome   0.57
                                                    Autosomal recessive spastic paraplegia type 20   0.57
                                 Severe intellectual disability and progressive spastic paraplegia   0.57
                                    Intellectual disability-seizures-macrocephaly-obesity syndrome   0.56
                                                                               Birk-Barel syndrome   0.56
                                                                                  48,XXYY syndrome   0.55
                                        PYCR2-related microcephaly-progressive leukoencephalopathy   0.55
                                                         Vocal cord and pharyngeal distal myopathy   0.55
                                                                      Carey-Fineman-Ziter syndrome   0.55
                                                              Bilateral perisylvian polymicrogyria   0.55
                                                                        Gabriele-de Vries syndrome   0.55
                                                                            Tetrasomy 12p syndrome   0.55
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation   0.54
              WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome   0.54","                                                                          Disease  Score
                                                     Oculopharyngodistal myopathy   0.63
                                               Oculopharyngeal muscular dystrophy   0.60
                                      Facial onset sensory and motor neuronopathy   0.58
                                             Autosomal spastic paraplegia type 18   0.58
                Severe intellectual disability and progressive spastic paraplegia   0.57
                                   Autosomal recessive spastic paraplegia type 20   0.57
                                                           1p36 deletion syndrome   0.57
                             Macrocephaly-spastic paraplegia-dysmorphism syndrome   0.57
Intellectual disability-muscle weakness-short stature-facial dysmorphism syndrome   0.57
                   Intellectual disability-seizures-macrocephaly-obesity syndrome   0.56
                                                              Birk-Barel syndrome   0.56
                                                       Gabriele-de Vries syndrome   0.55
                                                                 48,XXYY syndrome   0.55
                                             Bilateral perisylvian polymicrogyria   0.55
                                                     Carey-Fineman-Ziter syndrome   0.55
                                                           Tetrasomy 12p syndrome   0.55
                       PYCR2-related microcephaly-progressive leukoencephalopathy   0.55
                                        Vocal cord and pharyngeal distal myopathy   0.55
                                      Presynaptic congenital myasthenic syndromes   0.54
                                                                  Infant botulism   0.54",ALS,137,0,162,0
3,ALS_28356084_1_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                                        Postsynaptic congenital myasthenic syndromes   0.53
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.52
                                   Lower motor neuron syndrome with late-adult onset   0.52
                                                      Distal myopathy, Tateyama type   0.51
                             Autosomal dominant progressive external ophthalmoplegia   0.51
                                                          O'Sullivan-McLeod syndrome   0.51
                                                         Steinert myotonic dystrophy   0.51
                                                           Spastic paraplegia type 7   0.50
                                  Late-onset distal myopathy, Markesbery-Griggs type   0.50
                                    GMPPB-related limb-girdle muscular dystrophy R19   0.50
                                                                      Wilson disease   0.50
                                         X-linked Charcot-Marie-Tooth disease type 2   0.50
                                           Distal hereditary motor neuropathy type 5   0.49
                                    MT-ATP6-related mitochondrial spastic paraplegia   0.49
                                          Mowat-Wilson syndrome due to monosomy 2q22   0.49
            Mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome   0.49
                                                               Kearns-Sayre syndrome   0.49
                                                      Distal myopathy, Welander type   0.49
      Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.49
                                                Autosomal spastic paraplegia type 18   0.48","                                                                             Disease  Score
                                        Postsynaptic congenital myasthenic syndromes   0.53
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.52
                                   Lower motor neuron syndrome with late-adult onset   0.52
                                                      Distal myopathy, Tateyama type   0.51
                             Autosomal dominant progressive external ophthalmoplegia   0.51
                                                          O'Sullivan-McLeod syndrome   0.51
                                                         Steinert myotonic dystrophy   0.51
                                                           Spastic paraplegia type 7   0.50
                                  Late-onset distal myopathy, Markesbery-Griggs type   0.50
                                    GMPPB-related limb-girdle muscular dystrophy R19   0.50
                                                                      Wilson disease   0.50
                                         X-linked Charcot-Marie-Tooth disease type 2   0.50
                                           Distal hereditary motor neuropathy type 5   0.49
                                    MT-ATP6-related mitochondrial spastic paraplegia   0.49
                                          Mowat-Wilson syndrome due to monosomy 2q22   0.49
            Mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome   0.49
                                                               Kearns-Sayre syndrome   0.49
                                                      Distal myopathy, Welander type   0.49
      Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.49
                                                Autosomal spastic paraplegia type 18   0.48",ALS,31,0,31,0
4,ALS_28356084_2_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                                                          O'Sullivan-McLeod syndrome   0.53
                                                                Rigid spine syndrome   0.52
                                                      Distal myopathy, Welander type   0.50
                                                      Stiff person spectrum disorder   0.50
                                                             Amish nemaline myopathy   0.49
                                       Neurogenic arthrogryposis multiplex congenita   0.49
                                                                    Miyoshi myopathy   0.49
                           Symptomatic form of fragile X syndrome in female carriers   0.49
                                                           Focal stiff limb syndrome   0.48
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.48
                                                            Thoracic outlet syndrome   0.48
                                   Alpha-N-acetylgalactosaminidase deficiency type 1   0.48
                                                                        GNE myopathy   0.48
                                      Autosomal recessive spastic paraplegia type 5A   0.48
                                                             Marshall-Smith syndrome   0.48
                                        Postsynaptic congenital myasthenic syndromes   0.47
                                                              Wilson-Turner syndrome   0.47
                                         X-linked Charcot-Marie-Tooth disease type 3   0.47
                                               Arthrochalasia Ehlers-Danlos syndrome   0.47
                                                    Richieri Costa-da Silva syndrome   0.47","                                                                             Disease  Score
                                                          O'Sullivan-McLeod syndrome   0.53
                                                                Rigid spine syndrome   0.52
                                                      Distal myopathy, Welander type   0.50
                                                      Stiff person spectrum disorder   0.50
                                                             Amish nemaline myopathy   0.49
                                       Neurogenic arthrogryposis multiplex congenita   0.49
                                                                    Miyoshi myopathy   0.49
                           Symptomatic form of fragile X syndrome in female carriers   0.49
                                                           Focal stiff limb syndrome   0.48
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.48
                                                            Thoracic outlet syndrome   0.48
                                   Alpha-N-acetylgalactosaminidase deficiency type 1   0.48
                                                                        GNE myopathy   0.48
                                      Autosomal recessive spastic paraplegia type 5A   0.48
                                                             Marshall-Smith syndrome   0.48
                                        Postsynaptic congenital myasthenic syndromes   0.47
                                                              Wilson-Turner syndrome   0.47
                                         X-linked Charcot-Marie-Tooth disease type 3   0.47
                                               Arthrochalasia Ehlers-Danlos syndrome   0.47
                                                    Richieri Costa-da Silva syndrome   0.47",ALS,174,0,173,0
5,ALS_33230634_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                                                    Richieri Costa-da Silva syndrome   0.53
                                                        Oculopharyngodistal myopathy   0.50
                                         Presynaptic congenital myasthenic syndromes   0.49
                                                        IgG4-related pachymeningitis   0.48
                                          Musculocontractural Ehlers-Danlos syndrome   0.48
                                                  Oculopharyngeal muscular dystrophy   0.48
                                        Postsynaptic congenital myasthenic syndromes   0.47
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.47
                                                                      SAPHO syndrome   0.47
                                                             Encephalitis lethargica   0.47
                                                            Infantile Krabbe disease   0.47
                                                                    Miyoshi myopathy   0.47
                                                      Congenital myasthenic syndrome   0.47
                                                               Hajdu-Cheney syndrome   0.46
                                                          O'Sullivan-McLeod syndrome   0.46
                                                        Malignant atrophic papulosis   0.46
                                           Mucopolysaccharidosis type 2, severe form   0.46
                         Congenital multicore myopathy with external ophthalmoplegia   0.46
                                                       Facioscapulohumeral dystrophy   0.46
                                                                             Leprosy   0.46","                                                                             Disease  Score
                                                    Richieri Costa-da Silva syndrome   0.53
                                                        Oculopharyngodistal myopathy   0.50
                                         Presynaptic congenital myasthenic syndromes   0.49
                                                        IgG4-related pachymeningitis   0.48
                                          Musculocontractural Ehlers-Danlos syndrome   0.48
                                                  Oculopharyngeal muscular dystrophy   0.48
                                        Postsynaptic congenital myasthenic syndromes   0.47
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.47
                                                                      SAPHO syndrome   0.47
                                                             Encephalitis lethargica   0.47
                                                            Infantile Krabbe disease   0.47
                                                                    Miyoshi myopathy   0.47
                                                      Congenital myasthenic syndrome   0.47
                                                               Hajdu-Cheney syndrome   0.46
                                                          O'Sullivan-McLeod syndrome   0.46
                                                        Malignant atrophic papulosis   0.46
                                           Mucopolysaccharidosis type 2, severe form   0.46
                         Congenital multicore myopathy with external ophthalmoplegia   0.46
                                                       Facioscapulohumeral dystrophy   0.46
                                                                             Leprosy   0.46",ALS,80,0,69,0
6,ALS_34254495_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                               Hereditary motor and sensory neuropathy, Okinawa type   0.57
                                         Presynaptic congenital myasthenic syndromes   0.57
                                       X-linked intellectual disability, Snyder type   0.56
                Intellectual disability-balding-patella luxation-acromicria syndrome   0.56
                                                Charcot-Marie-Tooth disease type 4B2   0.56
                                                              Miller Fisher syndrome   0.56
                                                                 Birk-Barel syndrome   0.56
                                                Autosomal spastic paraplegia type 18   0.55
                                                      Congenital myasthenic syndrome   0.55
                                                                Cooper-Jabs syndrome   0.55
                                                                    48,XXYY syndrome   0.55
                                                         Imerslund-Gräsbeck syndrome   0.55
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.55
                                           Mucopolysaccharidosis type 2, severe form   0.55
                                                                         SLC39A8-CDG   0.55
                                   Lower motor neuron syndrome with late-adult onset   0.55
                                          Mowat-Wilson syndrome due to monosomy 2q22   0.55
                                        Postsynaptic congenital myasthenic syndromes   0.55
                                                        Pelizaeus-Merzbacher disease   0.55
                              Autosomal dominant Charcot-Marie-Tooth disease type 2Z   0.55","                                                                             Disease  Score
                               Hereditary motor and sensory neuropathy, Okinawa type   0.57
                                         Presynaptic congenital myasthenic syndromes   0.57
                                       X-linked intellectual disability, Snyder type   0.56
                Intellectual disability-balding-patella luxation-acromicria syndrome   0.56
                                                Charcot-Marie-Tooth disease type 4B2   0.56
                                                              Miller Fisher syndrome   0.56
                                                                 Birk-Barel syndrome   0.56
                                                Autosomal spastic paraplegia type 18   0.55
                                                      Congenital myasthenic syndrome   0.55
                                                                Cooper-Jabs syndrome   0.55
                                                                    48,XXYY syndrome   0.55
                                                         Imerslund-Gräsbeck syndrome   0.55
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.55
                                           Mucopolysaccharidosis type 2, severe form   0.55
                                                                         SLC39A8-CDG   0.55
                                   Lower motor neuron syndrome with late-adult onset   0.55
                                          Mowat-Wilson syndrome due to monosomy 2q22   0.55
                                        Postsynaptic congenital myasthenic syndromes   0.55
                                                        Pelizaeus-Merzbacher disease   0.55
                              Autosomal dominant Charcot-Marie-Tooth disease type 2Z   0.55",ALS,112,0,112,0
7,ALS_34916730_1_gemini2p5flash_SO.txt,"                                                              Disease  Score
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.55
               Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.54
                                       Distal myopathy, Welander type   0.52
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.52
     Distal myopathy with posterior leg and anterior hand involvement   0.52
                             Finnish upper limb-onset distal myopathy   0.51
                       Autosomal recessive spastic paraplegia type 11   0.51
                                                     Miyoshi myopathy   0.51
               Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.51
                                  Charcot-Marie-Tooth disease type 1F   0.51
                                            Spastic paraplegia type 7   0.50
                      Adult-onset distal myopathy due to VCP mutation   0.50
                                           O'Sullivan-McLeod syndrome   0.50
             Autosomal recessive axonal neuropathy with neuromyotonia   0.50
                            Distal hereditary motor neuropathy type 5   0.50
                 Spinocerebellar ataxia with axonal neuropathy type 1   0.50
                                                         GNE myopathy   0.49
          Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.49
                         Postsynaptic congenital myasthenic syndromes   0.49
                          X-linked Charcot-Marie-Tooth disease type 3   0.49","                                                              Disease  Score
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.55
               Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.54
                                       Distal myopathy, Welander type   0.52
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.52
     Distal myopathy with posterior leg and anterior hand involvement   0.52
                             Finnish upper limb-onset distal myopathy   0.51
                       Autosomal recessive spastic paraplegia type 11   0.51
                                                     Miyoshi myopathy   0.51
               Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.51
                                  Charcot-Marie-Tooth disease type 1F   0.51
                                            Spastic paraplegia type 7   0.50
                      Adult-onset distal myopathy due to VCP mutation   0.50
                                           O'Sullivan-McLeod syndrome   0.50
             Autosomal recessive axonal neuropathy with neuromyotonia   0.50
                            Distal hereditary motor neuropathy type 5   0.50
                 Spinocerebellar ataxia with axonal neuropathy type 1   0.50
                                                         GNE myopathy   0.49
          Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.49
                         Postsynaptic congenital myasthenic syndromes   0.49
                          X-linked Charcot-Marie-Tooth disease type 3   0.49",ALS,81,0,81,0
8,ALS_34916730_2_gemini2p5flash_SO.txt,"                                                              Disease  Score
                                           O'Sullivan-McLeod syndrome   0.53
     Distal myopathy with posterior leg and anterior hand involvement   0.53
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.53
                                                     Miyoshi myopathy   0.52
          Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.52
                                                         GNE myopathy   0.52
                                            Tibial muscular dystrophy   0.51
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.51
                                                 Roussy-Lévy syndrome   0.51
                                               Miller Fisher syndrome   0.51
                                Ullrich congenital muscular dystrophy   0.51
                           Distal myopathy with anterior tibial onset   0.51
                            KLHL9-related early-onset distal myopathy   0.51
                                            Spastic paraplegia type 7   0.51
                                                     Overlap myositis   0.50
                                       Distal myopathy, Welander type   0.50
               Anoctamin-5-related limb-girdle muscular dystrophy R12   0.50
                                                    Tay-Sachs disease   0.50
                       Autosomal recessive spastic paraplegia type 5A   0.50
                                               Miller-Dieker syndrome   0.50","                                                              Disease  Score
                                           O'Sullivan-McLeod syndrome   0.53
     Distal myopathy with posterior leg and anterior hand involvement   0.53
              Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.53
                                                     Miyoshi myopathy   0.52
          Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.52
                                                         GNE myopathy   0.52
                                            Tibial muscular dystrophy   0.51
Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.51
                                                 Roussy-Lévy syndrome   0.51
                                               Miller Fisher syndrome   0.51
                                Ullrich congenital muscular dystrophy   0.51
                           Distal myopathy with anterior tibial onset   0.51
                            KLHL9-related early-onset distal myopathy   0.51
                                            Spastic paraplegia type 7   0.51
                                                     Overlap myositis   0.50
                                       Distal myopathy, Welander type   0.50
               Anoctamin-5-related limb-girdle muscular dystrophy R12   0.50
                                                    Tay-Sachs disease   0.50
                       Autosomal recessive spastic paraplegia type 5A   0.50
                                               Miller-Dieker syndrome   0.50",ALS,53,0,53,0
9,ALS_34916730_3_gemini2p5flash_SO.txt,"                                                                             Disease  Score
                                                          O'Sullivan-McLeod syndrome   0.60
                                   Lower motor neuron syndrome with late-adult onset   0.57
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.57
                                        Postsynaptic congenital myasthenic syndromes   0.57
                                            Finnish upper limb-onset distal myopathy   0.56
                                      Autosomal recessive spastic paraplegia type 74   0.56
                    Distal myopathy with posterior leg and anterior hand involvement   0.56
                                                           Spastic paraplegia type 7   0.56
                            Autosomal recessive axonal neuropathy with neuromyotonia   0.56
                                       Autosomal dominant spastic paraplegia type 9A   0.56
                                       Autosomal dominant spastic paraplegia type 38   0.55
                                Spastic paraplegia-optic atrophy-neuropathy syndrome   0.55
                                                      Distal myopathy, Tateyama type   0.55
                             Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.55
                                                            Thoracic outlet syndrome   0.55
                                   Peripheral motor neuropathy-dysautonomia syndrome   0.54
                                    MT-ATP6-related mitochondrial spastic paraplegia   0.54
                              Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.54
                                     Adult-onset distal myopathy due to VCP mutation   0.54
               Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.54","                                                                             Disease  Score
                                                          O'Sullivan-McLeod syndrome   0.60
                                   Lower motor neuron syndrome with late-adult onset   0.57
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy   0.57
                                        Postsynaptic congenital myasthenic syndromes   0.57
                                            Finnish upper limb-onset distal myopathy   0.56
                                      Autosomal recessive spastic paraplegia type 74   0.56
                    Distal myopathy with posterior leg and anterior hand involvement   0.56
                                                           Spastic paraplegia type 7   0.56
                            Autosomal recessive axonal neuropathy with neuromyotonia   0.56
                                       Autosomal dominant spastic paraplegia type 9A   0.56
                                       Autosomal dominant spastic paraplegia type 38   0.55
                                Spastic paraplegia-optic atrophy-neuropathy syndrome   0.55
                                                      Distal myopathy, Tateyama type   0.55
                             Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.55
                                                            Thoracic outlet syndrome   0.55
                                   Peripheral motor neuropathy-dysautonomia syndrome   0.54
                                    MT-ATP6-related mitochondrial spastic paraplegia   0.54
                              Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.54
                                     Adult-onset distal myopathy due to VCP mutation   0.54
               Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome   0.54",ALS,75,0,75,0
