,Test File ID,Top K with encryption,Top K without encryption,Disease name,Rank with encryption,NDCG with encryption,Rank without encryption,NDCG without encryption
0,ALS_26515621_1_gemini2p5flash_SO.txt,"                                                         Disease  Score
                                  Distal myopathy, Welander type   0.69
Distal myopathy with posterior leg and anterior hand involvement   0.69
                                           Laing distal myopathy   0.66
              Late-onset distal myopathy, Markesbery-Griggs type   0.66
                                            Muscle filaminopathy   0.65
                                           Distal myotilinopathy   0.65
                                         Distal nebulin myopathy   0.65
                                                Miyoshi myopathy   0.64
                        Finnish upper limb-onset distal myopathy   0.64
                               Emery-Dreifuss muscular dystrophy   0.64
                                  Distal myopathy, Tateyama type   0.63
                                            Monomelic amyotrophy   0.63
            Moderate multiminicore disease with hand involvement   0.63
                                     Multifocal motor neuropathy   0.63
                                                    GNE myopathy   0.62
                                   Facioscapulohumeral dystrophy   0.62
                                      Bethlem muscular dystrophy   0.62
                                        Muscle-eye-brain disease   0.62
                       Distal hereditary motor neuropathy type 5   0.62
                       Vocal cord and pharyngeal distal myopathy   0.61","                                                         Disease  Score
                                  Distal myopathy, Welander type   0.69
Distal myopathy with posterior leg and anterior hand involvement   0.69
                                           Laing distal myopathy   0.66
              Late-onset distal myopathy, Markesbery-Griggs type   0.66
                                            Muscle filaminopathy   0.65
                                           Distal myotilinopathy   0.65
                                         Distal nebulin myopathy   0.65
                                                Miyoshi myopathy   0.64
                        Finnish upper limb-onset distal myopathy   0.64
                               Emery-Dreifuss muscular dystrophy   0.64
                                  Distal myopathy, Tateyama type   0.63
                                            Monomelic amyotrophy   0.63
            Moderate multiminicore disease with hand involvement   0.63
                                     Multifocal motor neuropathy   0.63
                                                    GNE myopathy   0.62
                                   Facioscapulohumeral dystrophy   0.62
                                      Bethlem muscular dystrophy   0.62
                                        Muscle-eye-brain disease   0.62
                       Distal hereditary motor neuropathy type 5   0.62
                       Vocal cord and pharyngeal distal myopathy   0.61",ALS,68,0,68,0
1,ALS_26515621_2_gemini2p5flash_SO.txt,"                                                         Disease  Score
               Spastic paraplegia-Paget disease of bone syndrome   0.71
                                                    GNE myopathy   0.70
                                           Laing distal myopathy   0.70
                                  Distal myopathy, Welander type   0.70
              Subacute inflammatory demyelinating polyneuropathy   0.69
                   Autosomal dominant spastic paraplegia type 38   0.69
                                           Distal myotilinopathy   0.69
                                       Tibial muscular dystrophy   0.68
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.68
                        Finnish upper limb-onset distal myopathy   0.68
                   Autosomal dominant spastic paraplegia type 10   0.67
Distal myopathy with posterior leg and anterior hand involvement   0.67
                   Autosomal dominant spastic paraplegia type 12   0.67
                       Distal hereditary motor neuropathy type 5   0.67
                    Autosomal dominant spastic paraplegia type 3   0.67
                    Autosomal dominant spastic paraplegia type 8   0.67
              Late-onset distal myopathy, Markesbery-Griggs type   0.67
              Hereditary sensory and autonomic neuropathy type 1   0.66
                                         Giant axonal neuropathy   0.66
                               Emery-Dreifuss muscular dystrophy   0.66","                                                         Disease  Score
               Spastic paraplegia-Paget disease of bone syndrome   0.71
                                           Laing distal myopathy   0.70
                                                    GNE myopathy   0.70
                                  Distal myopathy, Welander type   0.70
                                           Distal myotilinopathy   0.69
              Subacute inflammatory demyelinating polyneuropathy   0.69
                   Autosomal dominant spastic paraplegia type 38   0.69
                                       Tibial muscular dystrophy   0.68
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.68
                        Finnish upper limb-onset distal myopathy   0.68
Distal myopathy with posterior leg and anterior hand involvement   0.67
                   Autosomal dominant spastic paraplegia type 12   0.67
                   Autosomal dominant spastic paraplegia type 10   0.67
              Late-onset distal myopathy, Markesbery-Griggs type   0.67
                    Autosomal dominant spastic paraplegia type 3   0.67
                    Autosomal dominant spastic paraplegia type 8   0.67
                       Distal hereditary motor neuropathy type 5   0.67
                               Emery-Dreifuss muscular dystrophy   0.66
              Hereditary sensory and autonomic neuropathy type 1   0.66
                                         Giant axonal neuropathy   0.66",ALS,189,0,184,0
2,ALS_26515621_3_gemini2p5flash_SO.txt,"                                                                              Disease  Score
                                                         Oculopharyngodistal myopathy   0.70
                                                   Oculopharyngeal muscular dystrophy   0.67
                                            Vocal cord and pharyngeal distal myopathy   0.66
                                          Facial onset sensory and motor neuronopathy   0.65
                                Hereditary motor and sensory neuropathy, Okinawa type   0.65
                                     Infantile-onset X-linked spinal muscular atrophy   0.63
                                                       Hypokalemic periodic paralysis   0.63
                                                        Adult-onset nemaline myopathy   0.63
                                                              Distal nebulin myopathy   0.62
                                                                 Muscle filaminopathy   0.62
                                           X-linked Emery-Dreifuss muscular dystrophy   0.62
                            Congenital myasthenic syndromes with glycosylation defect   0.62
Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome   0.62
                                        Adult-onset autosomal dominant leukodystrophy   0.62
                    Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.62
                                                            Spastic paraplegia type 7   0.61
                                                 Autosomal spastic paraplegia type 18   0.61
                       Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.61
                                          Presynaptic congenital myasthenic syndromes   0.61
                                                              Secondary syringomyelia   0.61","                                                                              Disease  Score
                                                         Oculopharyngodistal myopathy   0.70
                                                   Oculopharyngeal muscular dystrophy   0.67
                                            Vocal cord and pharyngeal distal myopathy   0.66
                                          Facial onset sensory and motor neuronopathy   0.65
                                Hereditary motor and sensory neuropathy, Okinawa type   0.65
                                     Infantile-onset X-linked spinal muscular atrophy   0.63
                                                       Hypokalemic periodic paralysis   0.63
                                                        Adult-onset nemaline myopathy   0.63
                                                              Distal nebulin myopathy   0.62
                                                                 Muscle filaminopathy   0.62
                                           X-linked Emery-Dreifuss muscular dystrophy   0.62
                            Congenital myasthenic syndromes with glycosylation defect   0.62
Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome   0.62
                                        Adult-onset autosomal dominant leukodystrophy   0.62
                    Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.62
                                                            Spastic paraplegia type 7   0.61
                                                 Autosomal spastic paraplegia type 18   0.61
                       Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.61
                                          Presynaptic congenital myasthenic syndromes   0.61
                                                              Secondary syringomyelia   0.61",ALS,530,0,530,0
3,ALS_28356084_1_gemini2p5flash_SO.txt,"                                                                           Disease  Score
                                        Multiple system atrophy, parkinsonian type   0.65
                                          Multiple system atrophy, cerebellar type   0.64
                                                              Muscle filaminopathy   0.62
                           Autosomal dominant progressive external ophthalmoplegia   0.61
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations   0.60
                 Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.60
                                                        O'Sullivan-McLeod syndrome   0.60
                                                           Idiopathic camptocormia   0.60
                    Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.60
                                                         Focal stiff limb syndrome   0.59
                                                             Adrenomyeloneuropathy   0.59
                                                 Emery-Dreifuss muscular dystrophy   0.59
                                                    Distal myopathy, Welander type   0.59
                                                                 Myasthenia gravis   0.59
                                                           Distal nebulin myopathy   0.59
                                                    Stiff person spectrum disorder   0.59
                                                           Multiple system atrophy   0.59
                                Late-onset distal myopathy, Markesbery-Griggs type   0.58
                                                             Distal myotilinopathy   0.58
                                               Ataxia-telangiectasia-like disorder   0.58","                                                                           Disease  Score
                                        Multiple system atrophy, parkinsonian type   0.65
                                          Multiple system atrophy, cerebellar type   0.64
                                                              Muscle filaminopathy   0.62
                           Autosomal dominant progressive external ophthalmoplegia   0.61
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations   0.60
                 Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.60
                                                        O'Sullivan-McLeod syndrome   0.60
                                                           Idiopathic camptocormia   0.60
                    Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.60
                                                         Focal stiff limb syndrome   0.59
                                                             Adrenomyeloneuropathy   0.59
                                                 Emery-Dreifuss muscular dystrophy   0.59
                                                    Distal myopathy, Welander type   0.59
                                                                 Myasthenia gravis   0.59
                                                           Distal nebulin myopathy   0.59
                                                    Stiff person spectrum disorder   0.59
                                                           Multiple system atrophy   0.59
                                Late-onset distal myopathy, Markesbery-Griggs type   0.58
                                                             Distal myotilinopathy   0.58
                                               Ataxia-telangiectasia-like disorder   0.58",ALS,246,0,246,0
4,ALS_28356084_2_gemini2p5flash_SO.txt,"                                                          Disease  Score
                         Multiple system atrophy, cerebellar type   0.67
                                   Stiff person spectrum disorder   0.66
   Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.66
                    Adult-onset autosomal dominant leukodystrophy   0.65
                       Multiple system atrophy, parkinsonian type   0.65
             Moderate multiminicore disease with hand involvement   0.65
                   Autosomal recessive spastic paraplegia type 11   0.64
          Autosomal dominant progressive external ophthalmoplegia   0.64
Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.64
                                             Choreoacanthocytosis   0.64
                                Emery-Dreifuss muscular dystrophy   0.63
                                   Spinocerebellar ataxia type 42   0.63
                    Autosomal dominant spastic paraplegia type 38   0.63
                                        Focal stiff limb syndrome   0.63
Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome   0.62
                                          Multiple system atrophy   0.62
                                   Myopathy and diabetes mellitus   0.62
                                        Spastic paraplegia type 7   0.62
                              Ataxia-telangiectasia-like disorder   0.62
                       X-linked Emery-Dreifuss muscular dystrophy   0.62","                                                          Disease  Score
                         Multiple system atrophy, cerebellar type   0.67
                                   Stiff person spectrum disorder   0.66
   Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.66
                    Adult-onset autosomal dominant leukodystrophy   0.65
                       Multiple system atrophy, parkinsonian type   0.65
             Moderate multiminicore disease with hand involvement   0.65
                   Autosomal recessive spastic paraplegia type 11   0.64
          Autosomal dominant progressive external ophthalmoplegia   0.64
Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.64
                                             Choreoacanthocytosis   0.64
                                Emery-Dreifuss muscular dystrophy   0.63
                                   Spinocerebellar ataxia type 42   0.63
                    Autosomal dominant spastic paraplegia type 38   0.63
                                        Focal stiff limb syndrome   0.63
Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome   0.62
                                          Multiple system atrophy   0.62
                                   Myopathy and diabetes mellitus   0.62
                                        Spastic paraplegia type 7   0.62
                              Ataxia-telangiectasia-like disorder   0.62
                       X-linked Emery-Dreifuss muscular dystrophy   0.62",ALS,31,0,31,0
5,ALS_33230634_gemini2p5flash_SO.txt,"                                                   Disease  Score
                                                  Mycetoma   0.59
      Progressive non-infectious anterior vertebral fusion   0.58
                                  Multiple osteochondromas   0.57
                                     Superficial siderosis   0.57
    Multicentric osteolysis-nodulosis-arthropathy spectrum   0.57
          Spondyloepimetaphyseal dysplasia, Handigodu type   0.56
                                      Muscle filaminopathy   0.56
                           Hyperkalemic periodic paralysis   0.56
                                 Acute transverse myelitis   0.55
                                  Isolated osteopoikilosis   0.55
                        Spondyloepiphyseal dysplasia tarda   0.55
                                     Laing distal myopathy   0.55
                            Hypokalemic periodic paralysis   0.54
                                Geroderma osteodysplastica   0.54
              Spondyloepimetaphyseal dysplasia, Irapa type   0.54
Adenylosuccinate synthetase-like 1-related distal myopathy   0.54
                                    Oncogenic osteomalacia   0.54
                                            SAPHO syndrome   0.53
        Hereditary sensory and autonomic neuropathy type 1   0.53
                                     Distal myotilinopathy   0.53","                                                   Disease  Score
                                                  Mycetoma   0.59
      Progressive non-infectious anterior vertebral fusion   0.58
                                  Multiple osteochondromas   0.57
                                     Superficial siderosis   0.57
    Multicentric osteolysis-nodulosis-arthropathy spectrum   0.57
          Spondyloepimetaphyseal dysplasia, Handigodu type   0.56
                                      Muscle filaminopathy   0.56
                           Hyperkalemic periodic paralysis   0.56
                                 Acute transverse myelitis   0.55
                                  Isolated osteopoikilosis   0.55
                        Spondyloepiphyseal dysplasia tarda   0.55
                                     Laing distal myopathy   0.55
                            Hypokalemic periodic paralysis   0.54
                                Geroderma osteodysplastica   0.54
              Spondyloepimetaphyseal dysplasia, Irapa type   0.54
Adenylosuccinate synthetase-like 1-related distal myopathy   0.54
                                    Oncogenic osteomalacia   0.54
                                            SAPHO syndrome   0.53
        Hereditary sensory and autonomic neuropathy type 1   0.53
                                     Distal myotilinopathy   0.53",ALS,519,0,519,0
6,ALS_34254495_gemini2p5flash_SO.txt,"                                                                                          Disease  Score
                                                                            Laing distal myopathy   0.67
                                                    Adult-onset autosomal dominant leukodystrophy   0.67
                                                         Finnish upper limb-onset distal myopathy   0.66
                                                                            Distal myotilinopathy   0.66
                                                                             Muscle filaminopathy   0.65
                                                                   Distal myopathy, Welander type   0.65
                                       Adenylosuccinate synthetase-like 1-related distal myopathy   0.65
                                                                          Distal nebulin myopathy   0.64
            Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome   0.64
                                                                                     GNE myopathy   0.64
Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy   0.64
                                                        Distal hereditary motor neuropathy type 5   0.64
                                                    Autosomal dominant spastic paraplegia type 12   0.63
                                    Combined immunodeficiency with facio-oculo-skeletal anomalies   0.63
                                                                        Acute transverse myelitis   0.63
                                                        Autosomal dominant centronuclear myopathy   0.63
                                             Moderate multiminicore disease with hand involvement   0.63
                                  Autosomal dominant adult-onset proximal spinal muscular atrophy   0.63
                                               Late-onset distal myopathy, Markesbery-Griggs type   0.63
                                 Distal myopathy with posterior leg and anterior hand involvement   0.63","                                                                                          Disease  Score
                                                                            Laing distal myopathy   0.67
                                                    Adult-onset autosomal dominant leukodystrophy   0.67
                                                         Finnish upper limb-onset distal myopathy   0.66
                                                                            Distal myotilinopathy   0.66
                                                                             Muscle filaminopathy   0.65
                                                                   Distal myopathy, Welander type   0.65
                                       Adenylosuccinate synthetase-like 1-related distal myopathy   0.65
                                                                          Distal nebulin myopathy   0.64
            Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome   0.64
                                                                                     GNE myopathy   0.64
Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy   0.64
                                                        Distal hereditary motor neuropathy type 5   0.64
                                                    Autosomal dominant spastic paraplegia type 12   0.63
                                    Combined immunodeficiency with facio-oculo-skeletal anomalies   0.63
                                                                        Acute transverse myelitis   0.63
                                                        Autosomal dominant centronuclear myopathy   0.63
                                             Moderate multiminicore disease with hand involvement   0.63
                                  Autosomal dominant adult-onset proximal spinal muscular atrophy   0.63
                                               Late-onset distal myopathy, Markesbery-Griggs type   0.63
                                 Distal myopathy with posterior leg and anterior hand involvement   0.63",ALS,756,0,739,0
7,ALS_34916730_1_gemini2p5flash_SO.txt,"                                                         Disease  Score
                       Distal hereditary motor neuropathy type 5   0.70
              Subacute inflammatory demyelinating polyneuropathy   0.70
                                           Laing distal myopathy   0.68
                   Autosomal dominant spastic paraplegia type 38   0.67
                   Autosomal dominant spastic paraplegia type 12   0.66
Distal myopathy with posterior leg and anterior hand involvement   0.66
               Lower motor neuron syndrome with late-adult onset   0.66
            Spastic paraplegia-optic atrophy-neuropathy syndrome   0.66
        Autosomal recessive axonal neuropathy with neuromyotonia   0.65
                    Autosomal dominant spastic paraplegia type 8   0.65
                   Autosomal dominant spastic paraplegia type 10   0.65
               Spastic paraplegia-Paget disease of bone syndrome   0.64
                   Autosomal dominant spastic paraplegia type 36   0.64
                   Autosomal dominant spastic paraplegia type 37   0.64
              Hereditary sensory and autonomic neuropathy type 1   0.64
                    Autosomal dominant spastic paraplegia type 6   0.63
                                           Distal myotilinopathy   0.63
                                  Distal myopathy, Welander type   0.63
                                  Complex regional pain syndrome   0.63
                      Distal myopathy with anterior tibial onset   0.63","                                                         Disease  Score
                       Distal hereditary motor neuropathy type 5   0.70
              Subacute inflammatory demyelinating polyneuropathy   0.70
                                           Laing distal myopathy   0.68
                   Autosomal dominant spastic paraplegia type 38   0.67
                   Autosomal dominant spastic paraplegia type 12   0.66
Distal myopathy with posterior leg and anterior hand involvement   0.66
               Lower motor neuron syndrome with late-adult onset   0.66
            Spastic paraplegia-optic atrophy-neuropathy syndrome   0.66
        Autosomal recessive axonal neuropathy with neuromyotonia   0.65
                    Autosomal dominant spastic paraplegia type 8   0.65
                   Autosomal dominant spastic paraplegia type 10   0.65
               Spastic paraplegia-Paget disease of bone syndrome   0.64
                   Autosomal dominant spastic paraplegia type 36   0.64
                   Autosomal dominant spastic paraplegia type 37   0.64
              Hereditary sensory and autonomic neuropathy type 1   0.64
                    Autosomal dominant spastic paraplegia type 6   0.63
                                           Distal myotilinopathy   0.63
                                  Distal myopathy, Welander type   0.63
                                  Complex regional pain syndrome   0.63
                      Distal myopathy with anterior tibial onset   0.63",ALS,174,0,174,0
8,ALS_34916730_2_gemini2p5flash_SO.txt,"                                                         Disease  Score
                                           Laing distal myopathy   0.70
                       Distal hereditary motor neuropathy type 5   0.68
                      Distal myopathy with anterior tibial onset   0.68
Distal myopathy with posterior leg and anterior hand involvement   0.68
              Subacute inflammatory demyelinating polyneuropathy   0.67
                   Autosomal dominant spastic paraplegia type 38   0.66
              Late-onset distal myopathy, Markesbery-Griggs type   0.66
                        Finnish upper limb-onset distal myopathy   0.65
                                  Distal myopathy, Welander type   0.65
                   Autosomal dominant spastic paraplegia type 10   0.65
                                           Distal myotilinopathy   0.65
                                            Muscle filaminopathy   0.64
        Autosomal recessive axonal neuropathy with neuromyotonia   0.64
                                  Distal myopathy, Tateyama type   0.64
                   Autosomal dominant spastic paraplegia type 12   0.64
                    Autosomal dominant spastic paraplegia type 8   0.64
                                       Tibial muscular dystrophy   0.64
                                          Mueller-Weiss syndrome   0.64
                                                    GNE myopathy   0.64
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.64","                                                         Disease  Score
                                           Laing distal myopathy   0.70
                       Distal hereditary motor neuropathy type 5   0.68
                      Distal myopathy with anterior tibial onset   0.68
Distal myopathy with posterior leg and anterior hand involvement   0.68
              Subacute inflammatory demyelinating polyneuropathy   0.67
                   Autosomal dominant spastic paraplegia type 38   0.66
              Late-onset distal myopathy, Markesbery-Griggs type   0.66
                        Finnish upper limb-onset distal myopathy   0.65
                                  Distal myopathy, Welander type   0.65
                   Autosomal dominant spastic paraplegia type 10   0.65
                                           Distal myotilinopathy   0.65
                                            Muscle filaminopathy   0.64
        Autosomal recessive axonal neuropathy with neuromyotonia   0.64
                                  Distal myopathy, Tateyama type   0.64
                   Autosomal dominant spastic paraplegia type 12   0.64
                    Autosomal dominant spastic paraplegia type 8   0.64
                                       Tibial muscular dystrophy   0.64
                                          Mueller-Weiss syndrome   0.64
                                                    GNE myopathy   0.64
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.64",ALS,220,0,220,0
9,ALS_34916730_3_gemini2p5flash_SO.txt,"                                                         Disease  Score
Distal myopathy with posterior leg and anterior hand involvement   0.62
                  Digital extensor muscle aplasia-polyneuropathy   0.62
                                     Multifocal motor neuropathy   0.61
              Subacute inflammatory demyelinating polyneuropathy   0.61
                                  Distal myopathy, Tateyama type   0.61
     Early-onset cerebellar ataxia with retained tendon reflexes   0.61
                                  Distal myopathy, Welander type   0.60
              Hypomyelination neuropathy-arthrogryposis syndrome   0.60
        Autosomal recessive axonal neuropathy with neuromyotonia   0.60
              Late-onset distal myopathy, Markesbery-Griggs type   0.60
                                           Laing distal myopathy   0.60
                    Autosomal dominant spastic paraplegia type 8   0.59
                       Distal hereditary motor neuropathy type 5   0.59
               Lower motor neuron syndrome with late-adult onset   0.59
                                            Muscle filaminopathy   0.58
                        Finnish upper limb-onset distal myopathy   0.58
                                         Idiopathic camptocormia   0.58
            Spastic paraplegia-optic atrophy-neuropathy syndrome   0.58
                                         Giant axonal neuropathy   0.57
                                       Spastic paraplegia type 7   0.57","                                                         Disease  Score
Distal myopathy with posterior leg and anterior hand involvement   0.62
                  Digital extensor muscle aplasia-polyneuropathy   0.62
                                     Multifocal motor neuropathy   0.61
              Subacute inflammatory demyelinating polyneuropathy   0.61
                                  Distal myopathy, Tateyama type   0.61
     Early-onset cerebellar ataxia with retained tendon reflexes   0.61
                                  Distal myopathy, Welander type   0.60
              Hypomyelination neuropathy-arthrogryposis syndrome   0.60
        Autosomal recessive axonal neuropathy with neuromyotonia   0.60
              Late-onset distal myopathy, Markesbery-Griggs type   0.60
                                           Laing distal myopathy   0.60
                    Autosomal dominant spastic paraplegia type 8   0.59
                       Distal hereditary motor neuropathy type 5   0.59
               Lower motor neuron syndrome with late-adult onset   0.59
                                            Muscle filaminopathy   0.58
                        Finnish upper limb-onset distal myopathy   0.58
                                         Idiopathic camptocormia   0.58
            Spastic paraplegia-optic atrophy-neuropathy syndrome   0.58
                                         Giant axonal neuropathy   0.57
                                       Spastic paraplegia type 7   0.57",ALS,528,0,528,0
