,Test File ID,Top K with encryption,Top K without encryption,Disease name,Rank with encryption,NDCG with encryption,Rank without encryption,NDCG without encryption
0,ALS_26515621_1_gemini2p5flash_SO.txt,"                                                         Disease  Score
 Autosomal dominant adult-onset proximal spinal muscular atrophy   0.94
            Moderate multiminicore disease with hand involvement   0.94
                                     Steinert myotonic dystrophy   0.94
           Hereditary motor and sensory neuropathy, Okinawa type   0.94
                 Adult-onset distal myopathy due to VCP mutation   0.94
                   Adult-onset autosomal dominant leukodystrophy   0.94
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.94
                              Bickerstaff brainstem encephalitis   0.94
                                   Facioscapulohumeral dystrophy   0.94
         Acute inflammatory demyelinating polyradiculoneuropathy   0.94
               Lower motor neuron syndrome with late-adult onset   0.94
                                                    Cap myopathy   0.94
        Autosomal recessive axonal neuropathy with neuromyotonia   0.94
  Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.94
                          Juvenile amyotrophic lateral sclerosis   0.94
Distal myopathy with posterior leg and anterior hand involvement   0.94
                                           Distal myotilinopathy   0.94
              Plectin-related limb-girdle muscular dystrophy R17   0.94
                                                   Poliomyelitis   0.94
       Autosomal dominant limb-girdle muscular dystrophy type 1A   0.94","                                                        Disease  Score
                                          Distal myotilinopathy   0.94
 Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.94
                  Adult-onset autosomal dominant leukodystrophy   0.94
      Autosomal dominant limb-girdle muscular dystrophy type 1A   0.94
                Adult-onset distal myopathy due to VCP mutation   0.94
       Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                                       Native American myopathy   0.94
                                    Steinert myotonic dystrophy   0.94
                                                  Poliomyelitis   0.94
                                     Say-Barber-Miller syndrome   0.94
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.94
             Plectin-related limb-girdle muscular dystrophy R17   0.94
          Hereditary motor and sensory neuropathy, Okinawa type   0.94
                       Finnish upper limb-onset distal myopathy   0.94
                                                   Cap myopathy   0.94
     Adenylosuccinate synthetase-like 1-related distal myopathy   0.94
                                           Muscle filaminopathy   0.94
              Lower motor neuron syndrome with late-adult onset   0.94
                                              Myasthenia gravis   0.94
                    Proximal myopathy with extrapyramidal signs   0.94",ALS,28,0,31,0
1,ALS_26515621_2_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                          Distal myotilinopathy   0.95
              Lower motor neuron syndrome with late-adult onset   0.95
                                      Tibial muscular dystrophy   0.95
                     Distal myopathy with anterior tibial onset   0.95
          Hereditary motor and sensory neuropathy, Okinawa type   0.95
                    Proximal myopathy with extrapyramidal signs   0.94
                    X-linked Charcot-Marie-Tooth disease type 2   0.94
             Hereditary sensory and autonomic neuropathy type 1   0.94
           Moderate multiminicore disease with hand involvement   0.94
 Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.94
      Autosomal dominant limb-girdle muscular dystrophy type 1A   0.94
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome   0.94
                 Autosomal recessive spastic paraplegia type 35   0.94
                 Autosomal recessive spastic paraplegia type 27   0.94
                                    Multifocal motor neuropathy   0.94
             Plectin-related limb-girdle muscular dystrophy R17   0.94
                                                  Poliomyelitis   0.94
                  Autosomal dominant spastic paraplegia type 9A   0.94
                      KLHL9-related early-onset distal myopathy   0.94
                                               Miyoshi myopathy   0.94","                                                         Disease  Score
                      Distal myopathy with anterior tibial onset   0.95
                                       Tibial muscular dystrophy   0.95
           Hereditary motor and sensory neuropathy, Okinawa type   0.95
                                           Distal myotilinopathy   0.95
               Lower motor neuron syndrome with late-adult onset   0.95
                                            Muscle filaminopathy   0.94
          Anoctamin-5-related limb-girdle muscular dystrophy R12   0.94
                                               Myasthenia gravis   0.94
Mutilating hereditary sensory neuropathy with spastic paraplegia   0.94
                   Autosomal dominant spastic paraplegia type 36   0.94
                   Autosomal dominant spastic paraplegia type 37   0.94
                   Autosomal dominant spastic paraplegia type 38   0.94
                   Autosomal dominant spastic paraplegia type 73   0.94
               Spastic paraplegia-Paget disease of bone syndrome   0.94
                   Autosomal dominant spastic paraplegia type 9A   0.94
                                          Distal anoctaminopathy   0.94
              Hereditary sensory and autonomic neuropathy type 1   0.94
                                     Multifocal motor neuropathy   0.94
        Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                     X-linked Charcot-Marie-Tooth disease type 2   0.94",ALS,119,0,105,0
2,ALS_26515621_3_gemini2p5flash_SO.txt,"                                                Disease  Score
              Vocal cord and pharyngeal distal myopathy   0.95
                    Charcot-Marie-Tooth disease type 4C   0.95
                           Oculopharyngodistal myopathy   0.95
  Hereditary motor and sensory neuropathy, Okinawa type   0.94
                          Amyotrophic lateral sclerosis   0.94
                                        Dermatomyositis   0.94
                                      Myasthenia gravis   0.94
                   Dentatorubral pallidoluysian atrophy   0.94
      Lower motor neuron syndrome with late-adult onset   0.94
                         Myopathy and diabetes mellitus   0.94
                                     Myotonia fluctuans   0.94
                            Steinert myotonic dystrophy   0.94
                                Multiple system atrophy   0.94
                     Bickerstaff brainstem encephalitis   0.94
                     Oculopharyngeal muscular dystrophy   0.94
                    Charcot-Marie-Tooth disease type 1E   0.94
                    Charcot-Marie-Tooth disease type 1F   0.94
                   Charcot-Marie-Tooth disease type 2B1   0.94
                                         MEPAN syndrome   0.94
Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.94","                                                Disease  Score
              Vocal cord and pharyngeal distal myopathy   0.95
                    Charcot-Marie-Tooth disease type 4C   0.95
                           Oculopharyngodistal myopathy   0.95
  Hereditary motor and sensory neuropathy, Okinawa type   0.94
                          Amyotrophic lateral sclerosis   0.94
                                        Dermatomyositis   0.94
                                      Myasthenia gravis   0.94
                   Dentatorubral pallidoluysian atrophy   0.94
      Lower motor neuron syndrome with late-adult onset   0.94
                         Myopathy and diabetes mellitus   0.94
                                     Myotonia fluctuans   0.94
                            Steinert myotonic dystrophy   0.94
                                Multiple system atrophy   0.94
                     Bickerstaff brainstem encephalitis   0.94
                     Oculopharyngeal muscular dystrophy   0.94
                    Charcot-Marie-Tooth disease type 1E   0.94
                    Charcot-Marie-Tooth disease type 1F   0.94
                   Charcot-Marie-Tooth disease type 2B1   0.94
                                         MEPAN syndrome   0.94
Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.94",ALS,5,0.386852807,5,0.386852807
3,ALS_28356084_1_gemini2p5flash_SO.txt,"                                                                  Disease  Score
                                                                  Thymoma   0.94
                                                                 RFT1-CDG   0.93
                  Acute inflammatory demyelinating polyradiculoneuropathy   0.93
                                               Say-Barber-Miller syndrome   0.93
                                                              SLC35A2-CDG   0.93
                                                    Familial dysautonomia   0.93
                                                    Ramos-Arroyo syndrome   0.93
                RNF13-related severe early-onset epileptic encephalopathy   0.93
          RARS-related autosomal recessive hypomyelinating leukodystrophy   0.93
      Progressive epilepsy-intellectual disability syndrome, Finnish type   0.93
                           Autosomal recessive spastic paraplegia type 11   0.93
                                             Schuurs-Hoeijmakers syndrome   0.93
Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15   0.93
                              Porphyria due to ALA dehydratase deficiency   0.93
                                                               H syndrome   0.93
                                            HSD10 disease, infantile type   0.93
                       Plectin-related limb-girdle muscular dystrophy R17   0.93
                                                       Adrenomyodystrophy   0.93
                            Adult-onset autosomal dominant leukodystrophy   0.93
                               Autosomal recessive centronuclear myopathy   0.93","                                                                  Disease  Score
                                                                  Thymoma   0.94
                                                                 RFT1-CDG   0.93
                  Acute inflammatory demyelinating polyradiculoneuropathy   0.93
                                               Say-Barber-Miller syndrome   0.93
                                                              SLC35A2-CDG   0.93
                                                    Familial dysautonomia   0.93
                                                    Ramos-Arroyo syndrome   0.93
                RNF13-related severe early-onset epileptic encephalopathy   0.93
          RARS-related autosomal recessive hypomyelinating leukodystrophy   0.93
      Progressive epilepsy-intellectual disability syndrome, Finnish type   0.93
                           Autosomal recessive spastic paraplegia type 11   0.93
                                             Schuurs-Hoeijmakers syndrome   0.93
Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15   0.93
                              Porphyria due to ALA dehydratase deficiency   0.93
                                                               H syndrome   0.93
                                            HSD10 disease, infantile type   0.93
                       Plectin-related limb-girdle muscular dystrophy R17   0.93
                                                       Adrenomyodystrophy   0.93
                            Adult-onset autosomal dominant leukodystrophy   0.93
                               Autosomal recessive centronuclear myopathy   0.93",ALS,798,0,893,0
4,ALS_28356084_2_gemini2p5flash_SO.txt,"                                                                                          Disease  Score
                                                                       O'Sullivan-McLeod syndrome   0.93
                                                                      Imerslund-Gräsbeck syndrome   0.93
                                                                                  Isaacs syndrome   0.93
                                               Plectin-related limb-girdle muscular dystrophy R17   0.93
                                                           Mixed-type autoimmune hemolytic anemia   0.92
                                                                                      Dystonia 28   0.92
                                                   Primary angiitis of the central nervous system   0.92
                                                                      Isolated agammaglobulinemia   0.92
                                                                           Smith-Magenis syndrome   0.92
                                  Autosomal dominant adult-onset proximal spinal muscular atrophy   0.92
                                                                                Sillence syndrome   0.92
                                                                       Shwachman-Diamond syndrome   0.92
                                                      Neutral lipid storage disease with myopathy   0.92
                                                                                 Sheehan syndrome   0.92
                                                   Osteopathia striata-cranial sclerosis syndrome   0.92
                                          Osteopenia-intellectual disability-sparse hair syndrome   0.92
Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome   0.92
    Early-onset progressive encephalopathy-spastic ataxia-distal spinal muscular atrophy syndrome   0.92
                                                                    Allan-Herndon-Dudley syndrome   0.92
                                                                                   AL amyloidosis   0.92","                                                            Disease  Score
                                        Imerslund-Gräsbeck syndrome   0.93
                 Plectin-related limb-girdle muscular dystrophy R17   0.93
                                         O'Sullivan-McLeod syndrome   0.93
                                                    Isaacs syndrome   0.93
                             Mixed-type autoimmune hemolytic anemia   0.92
                                                 Holt-Oram syndrome   0.92
                                                       GNE myopathy   0.92
                                      HSD10 disease, infantile type   0.92
                                  Hemidystonia-hemiatrophy syndrome   0.92
Progressive epilepsy-intellectual disability syndrome, Finnish type   0.92
                            Autosomal recessive ataxia, Beauce type   0.92
                     Primary angiitis of the central nervous system   0.92
                                                 Huntington disease   0.92
                      Adult-onset autosomal dominant leukodystrophy   0.92
                                      Postorgasmic illness syndrome   0.92
                               Acute monoblastic/monocytic leukemia   0.92
                                                  Adenohypophysitis   0.92
                    ISPD-related limb-girdle muscular dystrophy R20   0.92
                                                  Adiposis dolorosa   0.92
                         Pelizaeus-Merzbacher disease, classic form   0.92",ALS,108,0,51,0
5,ALS_33230634_gemini2p5flash_SO.txt,"                                                            Disease  Score
                                                  Tay-Sachs disease   0.93
                                          Mohr-Tranebjaerg syndrome   0.93
           Autosomal recessive axonal neuropathy with neuromyotonia   0.93
                                         Camurati-Engelmann disease   0.93
                                                           DPM3-CDG   0.93
Progressive epilepsy-intellectual disability syndrome, Finnish type   0.93
                                  Lambert-Eaton myasthenic syndrome   0.93
                                           Multiple osteochondromas   0.93
                                                   Overlap myositis   0.93
                                                     Krabbe disease   0.93
                                                  Myasthenia gravis   0.93
              Hereditary motor and sensory neuropathy, Okinawa type   0.93
               Spastic paraplegia-optic atrophy-neuropathy syndrome   0.93
                                   Richieri Costa-da Silva syndrome   0.93
                                            Multiple system atrophy   0.92
                           Multiple system atrophy, cerebellar type   0.92
                                     Spinocerebellar ataxia type 42   0.92
                                                   Multiple myeloma   0.92
                                     Spinocerebellar ataxia type 36   0.92
               Spinocerebellar ataxia with axonal neuropathy type 2   0.92","                                                            Disease  Score
                                                  Tay-Sachs disease   0.93
                                          Mohr-Tranebjaerg syndrome   0.93
           Autosomal recessive axonal neuropathy with neuromyotonia   0.93
                                         Camurati-Engelmann disease   0.93
                                                           DPM3-CDG   0.93
Progressive epilepsy-intellectual disability syndrome, Finnish type   0.93
                                  Lambert-Eaton myasthenic syndrome   0.93
                                           Multiple osteochondromas   0.93
                                                   Overlap myositis   0.93
                                                     Krabbe disease   0.93
                                                  Myasthenia gravis   0.93
              Hereditary motor and sensory neuropathy, Okinawa type   0.93
               Spastic paraplegia-optic atrophy-neuropathy syndrome   0.93
                                   Richieri Costa-da Silva syndrome   0.93
                                            Multiple system atrophy   0.92
                           Multiple system atrophy, cerebellar type   0.92
                                     Spinocerebellar ataxia type 42   0.92
                                                   Multiple myeloma   0.92
                                     Spinocerebellar ataxia type 36   0.92
               Spinocerebellar ataxia with axonal neuropathy type 2   0.92",ALS,120,0,120,0
6,ALS_34254495_gemini2p5flash_SO.txt,"                                                                                          Disease  Score
                                                      Proximal myopathy with extrapyramidal signs   0.94
                                      Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.94
                                                                      Madras motor neuron disease   0.94
                                                           Juvenile amyotrophic lateral sclerosis   0.94
                                                                             Muscle filaminopathy   0.94
                                                                                     GNE myopathy   0.94
                                       Adenylosuccinate synthetase-like 1-related distal myopathy   0.94
                                                                            Laing distal myopathy   0.94
                                         Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                                                               Bickerstaff brainstem encephalitis   0.94
                                                                         Bilateral polymicrogyria   0.94
                                                    Adult-onset autosomal dominant leukodystrophy   0.94
                                                Lower motor neuron syndrome with late-adult onset   0.94
                                                                                Myasthenia gravis   0.94
                                        Autosomal dominant limb-girdle muscular dystrophy type 1A   0.94
                                                                   Myopathy and diabetes mellitus   0.94
                                                                         Native American myopathy   0.94
Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome   0.94
                                                                                    Poliomyelitis   0.94
                                                       Pelizaeus-Merzbacher disease, classic form   0.94","                                                                                          Disease  Score
                                                      Proximal myopathy with extrapyramidal signs   0.94
                                      Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.94
                                                                      Madras motor neuron disease   0.94
                                                           Juvenile amyotrophic lateral sclerosis   0.94
                                                                             Muscle filaminopathy   0.94
                                                                                     GNE myopathy   0.94
                                       Adenylosuccinate synthetase-like 1-related distal myopathy   0.94
                                                                            Laing distal myopathy   0.94
                                         Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                                                               Bickerstaff brainstem encephalitis   0.94
                                                                         Bilateral polymicrogyria   0.94
                                                    Adult-onset autosomal dominant leukodystrophy   0.94
                                                Lower motor neuron syndrome with late-adult onset   0.94
                                                                                Myasthenia gravis   0.94
                                        Autosomal dominant limb-girdle muscular dystrophy type 1A   0.94
                                                                   Myopathy and diabetes mellitus   0.94
                                                                         Native American myopathy   0.94
Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome   0.94
                                                                                    Poliomyelitis   0.94
                                                       Pelizaeus-Merzbacher disease, classic form   0.94",ALS,180,0,180,0
7,ALS_34916730_1_gemini2p5flash_SO.txt,"                                                          Disease  Score
                Lower motor neuron syndrome with late-adult onset   0.95
            Hereditary motor and sensory neuropathy, Okinawa type   0.95
                Chronic inflammatory demyelinating polyneuropathy   0.95
         Autosomal recessive axonal neuropathy with neuromyotonia   0.95
                              Charcot-Marie-Tooth disease type 1E   0.94
                   Autosomal recessive spastic paraplegia type 74   0.94
         Hereditary neuropathy with liability to pressure palsies   0.94
                                             Neuralgic amyotrophy   0.94
                                                    Subependymoma   0.94
               Subacute inflammatory demyelinating polyneuropathy   0.94
          Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.94
                   Autosomal recessive spastic paraplegia type 5A   0.94
                                 Richieri Costa-da Silva syndrome   0.94
                              Charcot-Marie-Tooth disease type 1F   0.94
                             Charcot-Marie-Tooth disease type 2B1   0.94
                              Charcot-Marie-Tooth disease type 4A   0.94
                                   Complex regional pain syndrome   0.94
   Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome   0.94
Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome   0.94
  Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome   0.94","                                                          Disease  Score
                Lower motor neuron syndrome with late-adult onset   0.95
            Hereditary motor and sensory neuropathy, Okinawa type   0.95
         Autosomal recessive axonal neuropathy with neuromyotonia   0.95
                Chronic inflammatory demyelinating polyneuropathy   0.95
                                                    Subependymoma   0.94
                                                       Ependymoma   0.94
                    Autosomal dominant spastic paraplegia type 9A   0.94
                     Autosomal dominant spastic paraplegia type 8   0.94
                                      Multifocal motor neuropathy   0.94
                   Autosomal recessive spastic paraplegia type 55   0.94
Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome   0.94
                   Autosomal recessive spastic paraplegia type 56   0.94
                    Autosomal dominant spastic paraplegia type 73   0.94
                    Autosomal dominant spastic paraplegia type 42   0.94
               Subacute inflammatory demyelinating polyneuropathy   0.94
                   Autosomal recessive spastic paraplegia type 5A   0.94
                    Autosomal dominant spastic paraplegia type 38   0.94
         Hereditary neuropathy with liability to pressure palsies   0.94
                    Autosomal dominant spastic paraplegia type 37   0.94
                    Autosomal dominant spastic paraplegia type 19   0.94",ALS,73,0,22,0
8,ALS_34916730_2_gemini2p5flash_SO.txt,"                                                 Disease  Score
                                       Myasthenia gravis   0.94
 Acute inflammatory demyelinating polyradiculoneuropathy   0.94
                               Acute transverse myelitis   0.94
       Metachromatic leukodystrophy, late infantile form   0.94
Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                     Charcot-Marie-Tooth disease type 1F   0.94
                               Tibial muscular dystrophy   0.94
           Adult-onset autosomal dominant leukodystrophy   0.94
                    Charcot-Marie-Tooth disease type 2B1   0.94
                                    Neuralgic amyotrophy   0.94
           Autosomal dominant spastic paraplegia type 38   0.94
                     Charcot-Marie-Tooth disease type 4C   0.94
   Hereditary motor and sensory neuropathy, Okinawa type   0.94
                                   Distal myotilinopathy   0.94
      Plectin-related limb-girdle muscular dystrophy R17   0.94
                                           Poliomyelitis   0.94
                          Distal myopathy, Tateyama type   0.94
             Metachromatic leukodystrophy, juvenile form   0.94
       Lower motor neuron syndrome with late-adult onset   0.94
      Subacute inflammatory demyelinating polyneuropathy   0.94","                                                        Disease  Score
             Plectin-related limb-girdle muscular dystrophy R17   0.94
             Subacute inflammatory demyelinating polyneuropathy   0.94
              Lower motor neuron syndrome with late-adult onset   0.94
          Hereditary motor and sensory neuropathy, Okinawa type   0.94
                                           Muscle filaminopathy   0.94
                                              Myasthenia gravis   0.94
                                 Myopathy and diabetes mellitus   0.94
                                           Neuralgic amyotrophy   0.94
                                          Distal myotilinopathy   0.94
                         Juvenile amyotrophic lateral sclerosis   0.94
                             Bickerstaff brainstem encephalitis   0.94
                    Proximal myopathy with extrapyramidal signs   0.94
        Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.94
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.94
                                      Tibial muscular dystrophy   0.94
                                                Dermatomyositis   0.94
                                                  Poliomyelitis   0.94
       Autosomal recessive axonal neuropathy with neuromyotonia   0.94
                  Autosomal dominant spastic paraplegia type 38   0.94
                  Adult-onset autosomal dominant leukodystrophy   0.94",ALS,33,0,81,0
9,ALS_34916730_3_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                           Muscle filaminopathy   0.95
       Autosomal recessive axonal neuropathy with neuromyotonia   0.95
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.94
           Moderate multiminicore disease with hand involvement   0.94
                                 Spinocerebellar ataxia type 18   0.94
                  Autosomal dominant spastic paraplegia type 73   0.94
                  Autosomal dominant spastic paraplegia type 9A   0.94
                         Juvenile amyotrophic lateral sclerosis   0.94
          Autosomal recessive Emery-Dreifuss muscular dystrophy   0.94
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome   0.94
                  Autosomal dominant spastic paraplegia type 37   0.94
                      KLHL9-related early-onset distal myopathy   0.94
                                         Miller Fisher syndrome   0.94
                                 Spinocerebellar ataxia type 43   0.94
                 Autosomal recessive spastic paraplegia type 27   0.94
          Hereditary motor and sensory neuropathy, Okinawa type   0.94
                                          Distal myotilinopathy   0.94
                                 Distal myopathy, Tateyama type   0.94
                  Autosomal dominant spastic paraplegia type 38   0.94
                                          Japanese encephalitis   0.94","                                                        Disease  Score
                                           Muscle filaminopathy   0.95
       Autosomal recessive axonal neuropathy with neuromyotonia   0.95
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.94
           Moderate multiminicore disease with hand involvement   0.94
                                 Spinocerebellar ataxia type 18   0.94
                  Autosomal dominant spastic paraplegia type 73   0.94
                  Autosomal dominant spastic paraplegia type 9A   0.94
                         Juvenile amyotrophic lateral sclerosis   0.94
          Autosomal recessive Emery-Dreifuss muscular dystrophy   0.94
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome   0.94
                  Autosomal dominant spastic paraplegia type 37   0.94
                      KLHL9-related early-onset distal myopathy   0.94
                                         Miller Fisher syndrome   0.94
                                 Spinocerebellar ataxia type 43   0.94
                 Autosomal recessive spastic paraplegia type 27   0.94
          Hereditary motor and sensory neuropathy, Okinawa type   0.94
                                          Distal myotilinopathy   0.94
                                 Distal myopathy, Tateyama type   0.94
                  Autosomal dominant spastic paraplegia type 38   0.94
                                          Japanese encephalitis   0.94",ALS,94,0,94,0
