,OrphaCode,DisorderName,Summary
0,58.0,Alexander disease,"Alexander disease is very frequently (99-80%) associated with Abnormal pyramidal sign, Abnormality of speech or vocalization, Agenesis of corpus callosum, Clonus, EEG abnormality, Failure to thrive, Frontal bossing, Hyperreflexia, Intellectual disability, Large face, Macrocephaly, Megalencephaly, Nausea and vomiting, Scoliosis, Seizure, Sleep abnormality, and Spasticity. Alexander disease is frequently (79-30%) associated with Abnormality of eye movement, Aphasia, Ataxia, Cerebral calcification, Constipation, Depression, Diplopia, Dysarthria, Dysphagia, Dysphonia, Emotional lability, Facial palsy, Gait disturbance, Hyperhidrosis, Hypotension, Hypothermia, Kyphosis, Nystagmus, Ptosis, Recurrent singultus, Sleep apnea, Tetraplegia, and Tremor. Alexander disease is occasionally (29-5%) associated with Abnormal autonomic nervous system physiology, Aqueductal stenosis, Bowel incontinence, Chorea, Developmental regression, Diabetes mellitus, High palate, Hydrocephalus, Hyperlordosis, Hyperpigmented nevi, Hypertension, Hypothyroidism, Hypotonia, Infectious encephalitis, Muscle weakness, Osteopenia, Precocious puberty, Respiratory insufficiency, Self-injurious behavior, Short neck, and Sudden cardiac death."
1,61.0,Alpha-mannosidosis,"Alpha-mannosidosis is very frequently (99-80%) associated with Cataract, Coarse facial features, Corneal opacity, Craniofacial hyperostosis, Delayed skeletal maturation, Depressed nasal bridge, Global developmental delay, Hearing impairment, Hepatomegaly, Hypoplastic inferior ilia, Intellectual disability, Macroglossia, Skeletal dysplasia, Splenomegaly, and Type II diabetes mellitus. Alpha-mannosidosis is frequently (79-30%) associated with Abnormality of the helix, Atypical behavior, Bowing of the long bones, Chronic otitis media, Generalized abnormality of skin, Gingival overgrowth, Hip dysplasia, Hypertelorism, Hypotonia, Inguinal hernia, Kyphosis, Macrotia, Narrow palate, Open bite, Prominent supraorbital ridges, Scoliosis, and Short neck. Alpha-mannosidosis is occasionally (29-5%) associated with Arthritis, Avascular necrosis, Dental malocclusion, Hallucinations, Increased intracranial pressure, Macrocephaly, Mandibular prognathia, Recurrent respiratory infections, Synostosis of joints, and Widely spaced teeth."
2,93.0,Aspartylglucosaminuria,"Aspartylglucosaminuria is very frequently (99-80%) associated with Abnormal facial shape, Abnormality of amino acid metabolism, Abnormality of speech or vocalization, Aspartylglucosaminuria, Delayed speech and language development, Dyskinesia, Gingival overgrowth, Hypertelorism, Intellectual disability, Large face, Mandibular prognathia, Microtia, Scoliosis, Short nose, Thick vermilion border, Umbilical hernia, and Wide nasal bridge. Aspartylglucosaminuria is frequently (79-30%) associated with Abnormal cortical bone morphology, Abnormal morphology of ulna, Abnormality of the dentition, Anterior beaking of lumbar vertebrae, Carious teeth, Coarse facial features, Macroglossia, Macroorchidism, Pectus carinatum, and Thickened calvaria. Aspartylglucosaminuria is occasionally (29-5%) associated with Abnormal vertebral morphology, Arthritis, Atypical behavior, Beaking of vertebral bodies, Chronic otitis media, Delayed skeletal maturation, Hepatomegaly, Inguinal hernia, Joint stiffness, Malabsorption, Pes planus, Recurrent respiratory infections, Seizure, Sleep abnormality, Splenomegaly, and Vascular skin abnormality.Aspartylglucosaminuria is associated with Disease-causing germline mutation(s) in aspartylglucosaminidase (ASRG; N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase; glycosylasparaginase)."
3,585.0,Multiple sulfatase deficiency,"Multiple sulfatase deficiency is very frequently (99-80%) associated with Abnormality of peripheral nerve conduction, Developmental regression, Global developmental delay, Hepatomegaly, Ichthyosis, Intellectual disability, Mucopolysacchariduria, Neonatal hypotonia, Rapid neurologic deterioration, Splenomegaly, and Visual impairment. Multiple sulfatase deficiency is frequently (79-30%) associated with Abnormality of retinal pigmentation, Anteverted nares, Broad hallux phalanx, Broad thumb, Cataract, Coarse facial features, Coarse hair, Corneal opacity, Depressed nasal bridge, Hydrocephalus, Joint stiffness, Macrocephaly, Optic atrophy, Seizure, Sensorineural hearing impairment, Short stature, Smooth philtrum, and Thick eyebrow. Multiple sulfatase deficiency is occasionally (29-5%) associated with Microcephaly.Multiple sulfatase deficiency is associated with Disease-causing germline mutation(s) in sulfatase modifying factor 1 (FGE; UNQ3037)."
4,118.0,Beta-mannosidosis,"Beta-mannosidosis is very frequently (99-80%) associated with Abnormal facial shape, Hearing impairment, Hypoplasia of the abdominal wall musculature, Intellectual disability, Recurrent respiratory infections, and Seizure.Beta-mannosidosis is associated with Disease-causing germline mutation(s) in mannosidase beta (beta-mannosidase A)."
5,141.0,Canavan disease,"Canavan disease is very frequently (99-80%) associated with Cognitive impairment, EEG abnormality, Feeding difficulties in infancy, Global developmental delay, Optic atrophy, and Reduced consciousness/confusion. Canavan disease is frequently (79-30%) associated with Abnormality of visual evoked potentials, Blindness, Gastroesophageal reflux, Hearing impairment, Hypertonia, Hypotonia, Macrocephaly, and Visual impairment. Canavan disease is occasionally (29-5%) associated with Abnormality of retinal pigmentation, Developmental regression, Flexion contracture, and Seizure."
6,213.0,Cystinosis,"Cystinosis is very frequently (99-80%) associated with Aminoaciduria, Corneal opacity, Dehydration, Delayed puberty, Failure to thrive, Fatigue, Hypokalemia, Hypophosphatemia, Hypothyroidism, Muscle weakness, Myopathy, Nephrogenic diabetes insipidus, Nephropathy, Photophobia, Polydipsia, Proteinuria, Renal Fanconi syndrome, Renal tubular dysfunction, Short stature, Type I diabetes mellitus, and Vomiting. Cystinosis is frequently (79-30%) associated with Aciduria, Band keratopathy, EMG: myopathic abnormalities, Elevated circulating alkaline phosphatase concentration, Feeding difficulties, Glycosuria, Growth delay, Hepatomegaly, Hyperphosphaturia, Hypocalcemia, Hypogonadism, Nephrocalcinosis, Nephrolithiasis, Osteomalacia, Renal insufficiency, Retinopathy, Rickets, and Splenomegaly. Cystinosis is occasionally (29-5%) associated with Abnormality of endocrine pancreas physiology, Aphasia, Azoospermia, Constipation, Cranial nerve paralysis, Decreased circulating carnitine concentration, Exocrine pancreatic insufficiency, Fever, Gait disturbance, Glucose intolerance, Hyponatremia, Hypotonia, Intellectual disability, mild, Malabsorption, Metabolic acidosis, Portal hypertension, and Visual impairment."
7,349.0,Fucosidosis,"Fucosidosis is very frequently (99-80%) associated with Abnormal facial shape, Anterior beaking of lumbar vertebrae, Brachycephaly, Coarse facial features, Dysostosis multiplex, Failure to thrive, Generalized hyperkeratosis, Global developmental delay, Hearing impairment, Hepatomegaly, Hyperhidrosis, Hypothyroidism, Intellectual disability, severe, Kyphosis, Lipoatrophy, Mucopolysacchariduria, and Prominent forehead. Fucosidosis is frequently (79-30%) associated with Abnormality of the cardiovascular system, Abnormality of the gallbladder, Corneal opacity, Decreased muscle mass, Hypotonia, Seizure, Spastic tetraplegia, Spasticity, and Vascular skin abnormality. Fucosidosis is occasionally (29-5%) associated with Abnormal pyramidal sign, Abnormality of the dentition, Abnormality of the nail, Acrocyanosis, and Cardiomegaly.Fucosidosis is associated with Disease-causing germline mutation(s) in alpha-L-fucosidase 1 (tissue fucosidase; a-L-fucosidase 1)."
8,366.0,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Glycogen storage disease due to glycogen debranching enzyme deficiency is very frequently (99-80%) associated with Full cheeks, Hypertriglyceridemia, Hypoglycemia, Immunodeficiency, Intellectual disability, mild, and Short stature. Glycogen storage disease due to glycogen debranching enzyme deficiency is frequently (79-30%) associated with Myopathy.Glycogen storage disease due to glycogen debranching enzyme deficiency is associated with Disease-causing germline mutation(s) in amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (glycogen storage disease type III; glycogen debranching enzyme; GDE)."
9,487.0,Krabbe disease,"Krabbe disease is very frequently (99-80%) associated with Abnormal thumb morphology, Abnormality of metabolism/homeostasis, Aplasia/Hypoplasia of the abdominal wall musculature, Ataxia, Atypical behavior, Cloverleaf skull, EMG abnormality, Feeding difficulties, Global developmental delay, Hearing impairment, Peripheral neuropathy, Reduced galactocerebrosidase activity, Sensorineural hearing impairment, Sensory neuropathy, Spasticity, and Visual impairment. Krabbe disease is frequently (79-30%) associated with Abnormality of peripheral nerve conduction, Developmental regression, Failure to thrive, Fever, Gait disturbance, Generalized myoclonic seizure, Hemiplegia/hemiparesis, Hyperpyrexia, Irritability, Recurrent respiratory infections, Seizure, Spastic paraparesis, and Vomiting. Krabbe disease is occasionally (29-5%) associated with Blindness, Clumsiness, Decerebrate rigidity, Difficulty walking, Erectile dysfunction, Frequent falls, Hand clenching, Hyperesthesia, Hyporeflexia, Increased CSF protein concentration, Muscle weakness, Myoclonus, Opisthotonus, Optic atrophy, Pes cavus, Poor head control, Respiratory failure, Slow pupillary light response, Tetraplegia, Urinary incontinence, and Weight loss."
