DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,PrevalenceID,Source,PrevalenceTypeID,PrevalenceTypeName,QualificationID,QualificationName,PrevalenceClassID,PrevalenceClassName,ValMoy,GeographicID,GeographicName,ValidationStatusID,ValidationStatusName
17601,166024,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,8322,11389160[PMID]_9689990[PMID]_ [EXPERT],23697,Cases/families,23718,Case(s),,,4.0,23844,Worldwide,25958,Validated
17601,166024,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,8323,ORPHANET_11389160[PMID]_9689990[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
2,58,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,Alexander disease,Disease,Disorder,2,21533827[PMID]_[EXPERT],23676,Annual incidence,23711,Value and class,23760,<1 / 1 000 000,0.037,24621,Japan,25958,Validated
2,58,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,Alexander disease,Disease,Disorder,3,ORPHANET,23669,Point prevalence,23704,Class only,23774,Unknown,0.0,23844,Worldwide,25965,Not yet validated
17603,166032,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,11632,15523498[PMID],23697,Cases/families,23718,Case(s),,,2.0,23844,Worldwide,25958,Validated
17603,166032,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,11633,ORPHANET_15523498[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,4,European Medicines Agency 2005[INST],23669,Point prevalence,23711,Value and class,23739,1-9 / 1 000 000,0.1,23795,Europe,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,5,9918480[PMID],23683,Prevalence at birth,23711,Value and class,23760,<1 / 1 000 000,0.09,23949,Australia,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,6,7900112[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.13,25006,Norway,25965,Not yet validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,7,10480370[PMID],23683,Prevalence at birth,23711,Value and class,23760,<1 / 1 000 000,0.09,24936,Netherlands,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,8,14685153[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.12,25090,Portugal,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,9,20490927[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.38,24257,Czech Republic,25958,Validated
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,12208,25274184[PMID],23683,Prevalence at birth,23711,Value and class,23760,<1 / 1 000 000,0.07,25335,Sweden,25958,Validated
17602,166029,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,11634,15523498[PMID],23697,Cases/families,23718,Case(s),,,3.0,23844,Worldwide,25958,Validated
17602,166029,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,11635,ORPHANET_15523498[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
17605,166038,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,8326,6979929[PMID],23697,Cases/families,23718,Case(s),,,2.0,23844,Worldwide,25958,Validated
17605,166038,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,8327,ORPHANET_6979929[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,10,9918480[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.2,23949,Australia,25958,Validated
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,11,ORPHANET,23669,Point prevalence,23704,Class only,23774,Unknown,0.0,23844,Worldwide,25965,Not yet validated
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,12205,25274184[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.62,25335,Sweden,25958,Validated
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,13306,27906067[PMID],23683,Prevalence at birth,23711,Value and class,23746,1-9 / 100 000,3.35,24362,Finland,25958,Validated
17604,166035,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,8324,7252997[PMID]_28285769[PMID],23697,Cases/families,23718,Case(s),,,12.0,23844,Worldwide,25958,Validated
17604,166035,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,8325,ORPHANET_7252997[PMID]_28285769[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
6,585,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,Multiple sulfatase deficiency,Disease,Disorder,12,36980153[PMID]_37732042[PMID]_ORPHANET,23697,Cases/families,23718,Case(s),,,154.0,23844,Worldwide,25958,Validated
6,585,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,Multiple sulfatase deficiency,Disease,Disorder,13,33144036[PMID],23669,Point prevalence,23711,Value and class,23739,1-9 / 1 000 000,0.2,23844,Worldwide,25958,Validated
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,14,14685153[PMID]_10480370[PMID]_20490927[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.14,23795,Europe,25958,Validated
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,15,20490927[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.16,24257,Czech Republic,25958,Validated
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,16,10480370[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.13,24936,Netherlands,25958,Validated
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,17,14685153[PMID],23683,Prevalence at birth,23711,Value and class,23739,1-9 / 1 000 000,0.12,25090,Portugal,25958,Validated
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,18,ORPHANET,23669,Point prevalence,23704,Class only,23774,Unknown,0.0,23844,Worldwide,25958,Validated
8,141,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Canavan disease,Disease,Disorder,19,ORPHANET,23669,Point prevalence,23704,Class only,23774,Unknown,0.0,23844,Worldwide,25965,Not yet validated
8,141,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Canavan disease,Disease,Disorder,20,20301412[PMID]_ORPHANET,23676,Annual incidence,23711,Value and class,23746,1-9 / 100 000,7.0,23851,Specific population,25958,Validated
8,141,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Canavan disease,Disease,Disorder,10848,[EXPERT],23683,Prevalence at birth,23711,Value and class,23746,1-9 / 100 000,1.0,23844,Worldwide,25958,Validated
17608,166063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,8328,[EXPERT],23697,Cases/families,23725,Family(ies),,,10.0,23844,Worldwide,25958,Validated
17608,166063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,8329,ORPHANET_20952379[PMID],23669,Point prevalence,23704,Class only,23760,<1 / 1 000 000,0.0,23844,Worldwide,25958,Validated
17611,166078,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,8334,ORPHANET,23669,Point prevalence,23704,Class only,23732,1-5 / 10 000,0.0,23795,Europe,25965,Not yet validated
