RelevanceID,DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AssociationID,DisabilityID,DisabilityName,FrequencyID,FrequencyName,TemporalityID,TemporalityName,SeverityID,SeverityName,LossOfAbility,AssociationType,Defined
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190181,61,"Managing one's health (diet, medications, prevention, needs, assistance, monitoring)",27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190182,63,Falling asleep,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190183,64,Staying asleep,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190184,65,Getting good quality sleep,27208,Frequent,27187,Acquisition delay,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190185,66,Staying awake,27215,Occasional,27187,Acquisition delay,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190186,68,"Handling stress, responsabilities, emergencies and ensuring one's safety",27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190187,69,Handling emotions and mood,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190188,70,Controlling one's own general behaviour,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190189,71,Controlling one's own eating behaviour,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190190,74,Moving around outside the home,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190191,76,Using transportation,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190192,77,Driving,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190193,79,Interacting with other people,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190194,80,Making/keeping friends,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190195,81,Maintaining family relationships,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190196,82,Dealing with strangers,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190197,83,Engaging in and maintaining intimate relationships,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190198,84,Engaging in sexual relationships,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190199,87,Shopping,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190200,88,Cooking/preparing meals,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190201,89,Doing housework,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190202,90,Looking after/helping others,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190203,92,Attending preschool,27201,Very frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190204,93,Attending mainstream school,27201,Very frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190205,94,Attending school in an adapted mainstream/special environment,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190206,95,Learning a profession (vocational training/apprenticeship) in the standard environment,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190207,96,Learning a profession (vocational training/apprenticeship) in an adapted mainstream/special environment,27201,Very frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190208,97,Accessing higher education,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190209,99,Engaging in paid work in a standard environment,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190210,100,Engaging in paid work in a supported/sheltered environment,27201,Very frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190211,101,Seeking employment,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190212,102,Performing professional tasks,27215,Occasional,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190213,103,Handling money/managing one's own budget,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190214,104,Carrying out administrative procedures,27201,Very frequent,27180,Permanent limitation,27250,Severe,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190215,106,Undertaking a simple task,27201,Very frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190216,107,Undertaking a complex/multiple task,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190217,108,Carrying out daily routines,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190218,110,Taking part in community life,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190219,111,Playing with others,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190220,112,Socializing,27208,Frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190221,113,Practicing sports,27201,Very frequent,27180,Permanent limitation,27236,Moderate,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190222,114,Participating in the arts and cultural activities,27208,Frequent,27180,Permanent limitation,27222,Low,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190223,115,Travelling,27208,Frequent,27180,Permanent limitation,27271,Unspecified,n,Disability,y
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190224,122,Light intensity,,,,,,,y,Environmental factor,n
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190225,123,Light quality,,,,,,,y,Environmental factor,n
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190226,125,Day/night cycles,,,,,,,y,Environmental factor,n
5,230,893,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=893,WAGR syndrome,Malformation syndrome,Disorder,190227,128,Sound intensity,,,,,,,y,Environmental factor,n
