DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,ValidationSource,AssociationType,AssociationStatus,GeneID,GeneSymbol,GeneName,GeneSynonyms,GeneExternalRefs,GeneLocus
17601,166024,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,22587682[PMID],Disease-causing germline mutation(s) in,Assessed,20160,KIF7,kinesin family member 7,JBTS12,ClinVar:KIF7|Ensembl:ENSG00000166813|Genatlas:KIF7|HGNC:30497|OMIM:611254|Reactome:Q2M1P5|SwissProt:Q2M1P5,15q26.1
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,11309371[PMID],Disease-causing germline mutation(s) in,Assessed,15470,AGA,aspartylglucosaminidase,ASRG|N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase|glycosylasparaginase,Reactome:P20933|Ensembl:ENSG00000038002|Genatlas:AGA|HGNC:318|OMIM:613228|SwissProt:P20933|ClinVar:AGA,4q34.3
17604,166035,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,28285769[PMID],Disease-causing germline mutation(s) in,Assessed,26792,CWC27,CWC27 spliceosome associated cyclophilin,NY-CO-10|SDCCAG-10,HGNC:10664|SwissProt:Q6UX04|Ensembl:ENSG00000153015|OMIM:617170,5q12.3
6,585,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,Multiple sulfatase deficiency,Disease,Disorder,17657823[PMID],Disease-causing germline mutation(s) in,Assessed,15570,SUMF1,sulfatase modifying factor 1,FGE|UNQ3037,Ensembl:ENSG00000144455|Genatlas:SUMF1|HGNC:20376|OMIM:607939|Reactome:Q8NBK3|SwissProt:Q8NBK3|ClinVar:SUMF1,3p26.1
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,18980795[PMID],Disease-causing germline mutation(s) in,Assessed,16375,MANBA,mannosidase beta,beta-mannosidase A,ClinVar:MANBA|Reactome:O00462|Genatlas:MANBA|HGNC:6831|OMIM:609489|SwissProt:O00462|Ensembl:ENSG00000109323,4q24
17608,166063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,,Disease-causing germline mutation(s) in,Assessed,17741,TSEN54,tRNA splicing endonuclease subunit 54,SEN54|SEN54L,Ensembl:ENSG00000182173|Genatlas:TSEN54|HGNC:27561|OMIM:608755|Reactome:Q7Z6J9|ClinVar:TSEN54|SwissProt:Q7Z6J9,17q25.1
17611,166078,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
17610,166073,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,,Disease-causing germline mutation(s) in,Assessed,17331,RARS2,"arginyl-tRNA synthetase 2, mitochondrial","DALRD2|MGC14993|MGC23778|PRO1992|arginine tRNA ligase 2, mitochondrial (putative)|dJ382I10.6",ClinVar:RARS2|Ensembl:ENSG00000146282|Genatlas:RARS2|HGNC:21406|OMIM:611524|Reactome:Q5T160|SwissProt:Q5T160,6q15
17613,166084,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
12,333,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,Farber disease,Disease,Disorder,24355074[PMID],Disease-causing germline mutation(s) in,Assessed,15956,ASAH1,N-acylsphingosine amidohydrolase 1,AC|FLJ21558|PHP32|ACDase|acid ceramidase|acylsphingosine deacylase,IUPHAR:2491|ClinVar:ASAH1|Ensembl:ENSG00000104763|Genatlas:ASAH1|HGNC:735|OMIM:613468|Reactome:Q13510|SwissProt:Q13510,8p22
13,349,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,Fucosidosis,Disease,Disorder,10094192[PMID],Disease-causing germline mutation(s) in,Assessed,16082,FUCA1,alpha-L-fucosidase 1,tissue fucosidase|a-L-fucosidase 1,ClinVar:FUCA1|Ensembl:ENSG00000179163|Genatlas:FUCA1|HGNC:4006|OMIM:612280|Reactome:P04066|SwissProt:P04066,1p36.11
17615,166090,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
17614,166087,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
15,366,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,10571954[PMID]_17908927[PMID],Disease-causing germline mutation(s) in,Assessed,15472,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",glycogen storage disease type III|glycogen debranching enzyme|GDE,Genatlas:AGL|HGNC:321|OMIM:610860|Reactome:P35573|SwissProt:P35573|Ensembl:ENSG00000162688|ClinVar:AGL,1p21.2
17616,166093,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
17,368,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,,Disease-causing germline mutation(s) in,Assessed,15177,PYGM,"glycogen phosphorylase, muscle associated","myophosphorylase|McArdle syndrome|glycogen phosphorylase, muscle form|glycogen storage disease type V|GSD5",ClinVar:PYGM|Ensembl:ENSG00000068976|Genatlas:PYGM|HGNC:9726|OMIM:608455|Reactome:P11217|SwissProt:P11217,11q13.1
17617,166096,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,20301765[PMID],Disease-causing germline mutation(s) in,Assessed,15714,VWF,von Willebrand factor,Factor VIII related antigen,ClinVar:VWF|Ensembl:ENSG00000110799|Genatlas:VWF|HGNC:12726|OMIM:613160|Reactome:P04275|SwissProt:P04275,12p13.31
