DisorderID,OrphaCode,DisorderName,ExpertLink,TargetDisorderID,TargetOrphaCode,TargetName,RootDisorderID,RootCycle,AssociationTypeID,AssociationTypeName
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,12333,93419,Rare bone disease,17601,true,21485,Preferential parent
2,58,Alexander disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,13024,98006,Rare neurologic disease,2,true,21485,Preferential parent
17603,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,12333,93419,Rare bone disease,17603,true,21485,Preferential parent
3,61,Alpha-mannosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,10507,68367,Rare inborn errors of metabolism,3,true,21485,Preferential parent
17602,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,12333,93419,Rare bone disease,17602,true,21485,Preferential parent
17605,166038,"Metaphyseal chondrodysplasia, Kaitila type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,12333,93419,Rare bone disease,17605,true,21485,Preferential parent
5,93,Aspartylglucosaminuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,10507,68367,Rare inborn errors of metabolism,5,true,21485,Preferential parent
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,12333,93419,Rare bone disease,17604,true,21485,Preferential parent
6,585,Multiple sulfatase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,10507,68367,Rare inborn errors of metabolism,6,true,21485,Preferential parent
7,118,Beta-mannosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,10507,68367,Rare inborn errors of metabolism,7,true,21485,Preferential parent
8,141,Canavan disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,13024,98006,Rare neurologic disease,8,true,21485,Preferential parent
17608,166063,Pontocerebellar hypoplasia type 4,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,12469,93890,Rare developmental defect during embryogenesis,17608,true,21485,Preferential parent
17611,166078,Von Willebrand disease type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,13010,97992,Rare hematologic disease,17611,true,21485,Preferential parent
17610,166073,Pontocerebellar hypoplasia type 6,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,12469,93890,Rare developmental defect during embryogenesis,17610,true,21485,Preferential parent
11,213,Cystinosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,10507,68367,Rare inborn errors of metabolism,11,true,21485,Preferential parent
17613,166084,Von Willebrand disease type 2A,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,13010,97992,Rare hematologic disease,17613,true,21485,Preferential parent
12,333,Farber disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,10507,68367,Rare inborn errors of metabolism,12,true,21485,Preferential parent
17612,166081,Von Willebrand disease type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,13010,97992,Rare hematologic disease,17612,true,21485,Preferential parent
13,349,Fucosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,10507,68367,Rare inborn errors of metabolism,13,true,21485,Preferential parent
17615,166090,Von Willebrand disease type 2M,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,13010,97992,Rare hematologic disease,17615,true,21485,Preferential parent
14,365,Glycogen storage disease due to acid maltase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,10507,68367,Rare inborn errors of metabolism,14,true,21485,Preferential parent
17614,166087,Von Willebrand disease type 2B,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,13010,97992,Rare hematologic disease,17614,true,21485,Preferential parent
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,10507,68367,Rare inborn errors of metabolism,15,true,21485,Preferential parent
17616,166093,Von Willebrand disease type 2N,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,13010,97992,Rare hematologic disease,17616,true,21485,Preferential parent
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,10507,68367,Rare inborn errors of metabolism,17,true,21485,Preferential parent
17617,166096,Von Willebrand disease type 3,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,13010,97992,Rare hematologic disease,17617,true,21485,Preferential parent
16,367,Glycogen storage disease due to glycogen branching enzyme deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367,10507,68367,Rare inborn errors of metabolism,16,true,21485,Preferential parent
17618,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166100,12333,93419,Rare bone disease,17618,true,21485,Preferential parent
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371,10507,68367,Rare inborn errors of metabolism,19,true,21485,Preferential parent
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105,13024,98006,Rare neurologic disease,17619,true,21485,Preferential parent
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369,10507,68367,Rare inborn errors of metabolism,18,true,21485,Preferential parent
21,447,Paroxysmal nocturnal hemoglobinuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447,13010,97992,Rare hematologic disease,21,true,21485,Preferential parent
17620,166108,Birk-Barel syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,12469,93890,Rare developmental defect during embryogenesis,17620,true,21485,Preferential parent
17621,166113,Bazex syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,11896,89826,Rare skin disease,17621,true,21485,Preferential parent
23,535,Rare cutaneous lupus erythematosus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535,11896,89826,Rare skin disease,23,true,21485,Preferential parent
17622,166119,Isolated osteopoikilosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,12333,93419,Rare bone disease,17622,true,21485,Preferential parent
22,487,Krabbe disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,10507,68367,Rare inborn errors of metabolism,22,true,21485,Preferential parent
17624,166260,Dentinogenesis imperfecta type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,13044,98026,Rare odontologic disease,17624,true,21485,Preferential parent
