DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
17601,166024,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2,58,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,Alexander disease,Disease,Disorder,23557,All ages,23410,Autosomal dominant
17603,166032,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,23529|23522,Childhood|Infancy,,
3,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
17602,166029,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,23529,Childhood,,
17605,166038,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,23515,Neonatal,,
5,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
17604,166035,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
6,585,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,Multiple sulfatase deficiency,Disease,Disorder,23536|23508|23529|23522|23515,Adolescent|Antenatal|Childhood|Infancy|Neonatal,23417,Autosomal recessive
7,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,Disease,Disorder,23536|23543|23529|23522|23515,Adolescent|Adult|Childhood|Infancy|Neonatal,23417,Autosomal recessive
8,141,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Canavan disease,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
17608,166063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,23508,Antenatal,23417,Autosomal recessive
17611,166078,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,23557,All ages,23410,Autosomal dominant
17610,166073,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,23515,Neonatal,23417,Autosomal recessive
11,213,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,Cystinosis,Disease,Disorder,23536|23543|23529|23522,Adolescent|Adult|Childhood|Infancy,23417,Autosomal recessive
17613,166084,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,,,23410|23417,Autosomal dominant|Autosomal recessive
12,333,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,Farber disease,Disease,Disorder,23508|23529|23522|23515,Antenatal|Childhood|Infancy|Neonatal,23417,Autosomal recessive
17612,166081,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,23557,All ages,23410|23417,Autosomal dominant|Autosomal recessive
13,349,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,Fucosidosis,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
17615,166090,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,,,23410,Autosomal dominant
14,365,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,23536|23543|23508|23529|23522|23515,Adolescent|Adult|Antenatal|Childhood|Infancy|Neonatal,23417,Autosomal recessive
17614,166087,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,,,23410,Autosomal dominant
15,366,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
17616,166093,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,,,23417,Autosomal recessive
17,368,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,23536|23543|23529,Adolescent|Adult|Childhood,23417,Autosomal recessive
